,quat1,quat2,quat3,quat4,acc1,acc2,acc3,gyro1,gyro2,gyro3
12.041658163070679,-0.77130126953125,-0.2119140625,0.54815673828125,-0.244384765625,1.048828125,0.0185546875,0.5478515625,-46.0625,-40.8125,-29.0
12.04337215423584,-0.77288818359375,-0.2081298828125,0.551025390625,-0.236083984375,1.00830078125,-0.02490234375,0.54443359375,-46.0625,-27.1875,-29.3125
12.044547080993652,-0.77392578125,-0.20587158203125,0.55316162109375,-0.22967529296875,1.0322265625,-0.02490234375,0.43603515625,-31.8125,-18.1875,-26.5
12.045756101608276,-0.775146484375,-0.2047119140625,0.5537109375,-0.22509765625,1.50390625,-0.00732421875,0.5205078125,-19.1875,-5.25,-25.25
12.047168970108032,-0.7796630859375,-0.202392578125,0.54931640625,-0.222412109375,1.2802734375,-0.02880859375,0.81982421875,-13.8125,7.0,-23.9375
12.0485680103302,-0.7813720703125,-0.2030029296875,0.548095703125,-0.21875,0.625,0.0322265625,0.07666015625,-9.4375,14.5,-23.3125
12.049914121627808,-0.786865234375,-0.200927734375,0.541748046875,-0.21673583984375,1.24755859375,0.0009765625,0.79736328125,-9.5,22.0,-23.6875
12.05114221572876,-0.7879638671875,-0.2032470703125,0.54046630859375,-0.2137451171875,0.908203125,0.10888671875,-0.0048828125,-1.0,24.3125,-22.3125
12.052330017089844,-0.79425048828125,-0.2020263671875,0.53204345703125,-0.212890625,0.79736328125,-0.00341796875,0.73681640625,-0.3125,29.3125,-23.125
12.053551197052002,-0.79473876953125,-0.205322265625,0.531005859375,-0.21063232421875,1.4404296875,0.236328125,0.0703125,3.3125,31.0625,-16.8125
12.05482792854309,-0.80023193359375,-0.20404052734375,0.52301025390625,-0.21087646484375,0.37060546875,0.00537109375,0.4423828125,1.125,36.0,-13.5
12.056094884872437,-0.802978515625,-0.2022705078125,0.51995849609375,-0.20977783203125,1.6162109375,0.1328125,0.46435546875,-10.9375,36.375,-10.0625
12.057766199111938,-0.808349609375,-0.1978759765625,0.51324462890625,-0.20989990234375,0.99658203125,0.0146484375,0.6923828125,-13.3125,35.3125,-7.125
12.059370994567871,-0.812744140625,-0.19500732421875,0.50726318359375,-0.2100830078125,0.92578125,0.0859375,0.4765625,-9.75,40.4375,-4.125
12.060814142227173,-0.8172607421875,-0.19085693359375,0.5010986328125,-0.21136474609375,0.97314453125,0.04248046875,0.5126953125,-11.0,44.6875,1.5
12.062096118927002,-0.821533203125,-0.18646240234375,0.494873046875,-0.21331787109375,0.953125,0.05126953125,0.49755859375,-10.375,47.1875,6.75
12.063655138015747,-0.82574462890625,-0.1810302734375,0.48870849609375,-0.21588134765625,0.9677734375,0.02978515625,0.48828125,-13.4375,50.8125,11.4375
12.064765214920044,-0.83013916015625,-0.17449951171875,0.48211669921875,-0.218994140625,0.9775390625,-0.00048828125,0.5009765625,-15.625,56.5625,15.3125
12.065863132476807,-0.83453369140625,-0.1685791015625,0.474365234375,-0.22393798828125,0.9658203125,-0.01904296875,0.525390625,-6.1875,62.6875,20.5
12.067167043685913,-0.8387451171875,-0.1640625,0.46527099609375,-0.2305908203125,0.9619140625,-0.02685546875,0.5595703125,7.375,68.375,24.1875
12.068381309509277,-0.8427734375,-0.16094970703125,0.4547119140625,-0.239013671875,0.95947265625,-0.02880859375,0.60693359375,20.9375,73.625,28.0
12.069869995117188,-0.846435546875,-0.15966796875,0.4429931640625,-0.2486572265625,0.951171875,-0.0166015625,0.62158203125,34.25,77.6875,29.6875
12.071135997772217,-0.8499755859375,-0.15966796875,0.4302978515625,-0.2586669921875,0.92529296875,0.009765625,0.6630859375,42.125,79.25,29.5625
12.072240114212036,-0.85382080078125,-0.15966796875,0.41650390625,-0.26849365234375,0.896484375,0.08984375,0.7763671875,40.0625,80.25,31.0625
12.07335901260376,-0.85791015625,-0.1593017578125,0.4022216796875,-0.27734375,0.8974609375,0.1826171875,0.7802734375,32.25,84.6875,32.125
