,quat1,quat2,quat3,quat4,acc1,acc2,acc3,gyro1,gyro2,gyro3
5.228021144866943,0.55120849609375,0.62371826171875,-0.5484619140625,0.0791015625,0.68505859375,0.6220703125,-0.361328125,4.1875,4.9375,-1.375
5.228899240493774,0.55206298828125,0.62396240234375,-0.54730224609375,0.0797119140625,0.6669921875,0.60400390625,-0.30810546875,3.0625,5.75,-1.625
5.230299949645996,0.5538330078125,0.6217041015625,-0.5474853515625,0.0838623046875,1.10693359375,0.54931640625,-0.2470703125,3.75,4.1875,0.9375
5.231797218322754,0.55810546875,0.61798095703125,-0.54656982421875,0.08856201171875,1.23291015625,0.59423828125,0.0009765625,3.1875,3.0,-0.25
5.2330381870269775,0.553955078125,0.62213134765625,-0.54669189453125,0.084716796875,0.13671875,0.59228515625,-0.681640625,2.9375,1.0625,0.8125
5.234190225601196,0.55975341796875,0.61773681640625,-0.54522705078125,0.0880126953125,1.130859375,0.58740234375,0.0986328125,-5.0,3.125,-1.375
5.235515356063843,0.55657958984375,0.6197509765625,-0.54644775390625,0.0867919921875,0.732421875,0.70556640625,-0.77880859375,-1.1875,1.4375,0.4375
5.236806154251099,0.5592041015625,0.61920166015625,-0.54449462890625,0.08587646484375,0.365234375,0.4609375,-0.00146484375,-1.25,2.25,-1.5625
5.238142013549805,0.56005859375,0.616943359375,-0.54571533203125,0.08880615234375,1.3525390625,0.73388671875,-0.4912109375,-3.9375,1.125,0.5
5.2393879890441895,0.5577392578125,0.62054443359375,-0.544677734375,0.08447265625,-0.0732421875,0.4892578125,-0.431640625,1.125,1.9375,-0.375
5.240756988525391,0.562744140625,0.61590576171875,-0.5440673828125,0.08905029296875,1.36328125,0.65576171875,-0.03173828125,-3.25,3.5625,0.375
5.2420690059661865,0.5594482421875,0.6195068359375,-0.5439453125,0.08551025390625,0.1572265625,0.60595703125,-0.6328125,1.3125,3.5625,2.25
5.2433762550354,0.55963134765625,0.62017822265625,-0.54296875,0.085693359375,0.55615234375,0.60498046875,-0.3388671875,3.125,6.875,1.6875
5.244684219360352,0.56024169921875,0.61981201171875,-0.542724609375,0.08587646484375,0.72314453125,0.64404296875,-0.359375,-1.5,3.375,2.3125
5.246057033538818,0.56158447265625,0.6187744140625,-0.54266357421875,0.0849609375,0.73828125,0.6435546875,-0.3603515625,-10.125,1.25,0.4375
5.24757719039917,0.5633544921875,0.617431640625,-0.54254150390625,0.08355712890625,0.75146484375,0.64208984375,-0.35498046875,-14.125,0.8125,-1.1875
5.24886417388916,0.5645751953125,0.61651611328125,-0.54254150390625,0.08233642578125,0.74169921875,0.634765625,-0.3671875,-11.125,-0.0625,-1.5
5.250242233276367,0.56512451171875,0.61602783203125,-0.542724609375,0.0811767578125,0.7353515625,0.62841796875,-0.38427734375,-8.1875,-1.4375,-1.75
5.251415252685547,0.56536865234375,0.61572265625,-0.54290771484375,0.0799560546875,0.71826171875,0.61572265625,-0.3857421875,-7.4375,-2.3125,-2.8125
5.252788066864014,0.56561279296875,0.61566162109375,-0.54290771484375,0.07879638671875,0.70654296875,0.6064453125,-0.37353515625,-5.8125,-1.875,-3.75
5.254345178604126,0.56585693359375,0.61590576171875,-0.54254150390625,0.07794189453125,0.70556640625,0.61572265625,-0.357421875,-3.0,-0.625,-4.25
5.255825996398926,0.56597900390625,0.6163330078125,-0.54205322265625,0.0772705078125,0.6943359375,0.6298828125,-0.3505859375,-0.6875,-0.125,-4.0
5.257124185562134,0.5660400390625,0.61669921875,-0.5416259765625,0.07659912109375,0.69580078125,0.64453125,-0.34521484375,-0.125,-0.8125,-2.75
5.258193016052246,0.566162109375,0.6168212890625,-0.5413818359375,0.07623291015625,0.716796875,0.65673828125,-0.3486328125,-0.125,-0.4375,-1.0625
5.259270191192627,0.56646728515625,0.61663818359375,-0.54132080078125,0.07598876953125,0.720703125,0.64404296875,-0.34912109375,-1.625,0.1875,0.1875
5.260524034500122,0.566650390625,0.616455078125,-0.5413818359375,0.07574462890625,0.71533203125,0.62939453125,-0.35888671875,-2.4375,-0.0625,-0.0625
5.261667251586914,0.566650390625,0.6163330078125,-0.54156494140625,0.07525634765625,0.701171875,0.6123046875,-0.36669921875,-3.0,-1.25,-0.4375
5.262562274932861,0.56658935546875,0.6163330078125,-0.541748046875,0.07476806640625,0.69775390625,0.60888671875,-0.3623046875,-2.3125,-1.8125,-0.875
5.263604164123535,0.56646728515625,0.616455078125,-0.54180908203125,0.0743408203125,0.69677734375,0.61572265625,-0.35693359375,-0.875,-1.3125,-1.0625
5.265753269195557,0.56646728515625,0.616455078125,-0.54180908203125,0.0743408203125,0.69482421875,0.63427734375,-0.345703125,0.4375,-0.875,-0.3125
5.267077207565308,0.56634521484375,0.61663818359375,-0.541748046875,0.07415771484375,0.69580078125,0.63916015625,-0.34423828125,1.125,-0.625,0.125
5.2678773403167725,0.56640625,0.61663818359375,-0.54168701171875,0.0740966796875,0.705078125,0.64892578125,-0.34716796875,0.75,-0.5625,0.875
5.269118070602417,0.56640625,0.61663818359375,-0.54168701171875,0.07403564453125,0.708984375,0.662109375,-0.3447265625,0.8125,-0.4375,1.75
5.270294189453125,0.56640625,0.6165771484375,-0.541748046875,0.07379150390625,0.7109375,0.6630859375,-0.34912109375,0.0625,-1.375,1.4375
5.271048069000244,0.56634521484375,0.61651611328125,-0.54193115234375,0.07330322265625,0.71044921875,0.65771484375,-0.35498046875,-0.9375,-2.125,0.875
